score,avg_time,prev_time,prev_category,prev_length,category
41341,2.77,6.18,Hard,446,0
13834,4.71,8.7,Hard,206,0
36211,4.44,5.15,Easy,376,0
15214,3.07,5.39,Hard,246,0
18418,0.99,3.81,Hard,240,1
7306,6.37,2.09,Hard,299,0
32027,4.53,6.16,Hard,193,0
36069,2.83,1.84,Easy,421,1
40962,0.7,0.7,Hard,226,1
44300,4.44,6.35,Hard,348,0
44347,4.96,4.8,Hard,377,0
39188,0.7,7.76,Easy,487,1
26980,4.68,2.68,Hard,183,1
876,3.06,8.02,Easy,292,1
23207,4.92,6.4,Easy,231,0
17471,5.6,5.37,Easy,421,0
46673,3.73,9.59,Easy,293,1
45011,1.61,8.38,Hard,473,0
17628,6.9,7.33,Hard,274,0
44464,3.86,8.47,Hard,341,0
23938,5.16,3.51,Hard,433,0
13196,4.81,6.99,Easy,471,0
42640,4.84,1.26,Hard,419,0
24138,0.86,1.91,Easy,470,1
4583,4.46,7.37,Easy,375,0
50585,1.77,7.44,Easy,288,1
37917,4.72,3.58,Easy,359,1
24132,2.21,2.71,Hard,224,1
18119,2.82,2.71,Hard,303,1
49389,5.28,8.24,Easy,315,1
18506,5.7,5.3,Easy,401,0
40581,0.84,2.93,Easy,176,1
38695,6.08,9.21,Easy,402,0
13118,1.8,8.04,Easy,455,0
33672,6.38,8,Hard,196,0
38183,1.92,5.48,Easy,389,1
49691,1.22,8.05,Hard,322,1
6172,2.92,7.58,Easy,428,0
22144,1.5,2.81,Easy,311,1
29342,5.22,5.04,Easy,381,0
47081,1.65,5.52,Hard,444,0
45146,1.9,5.51,Easy,327,1
12827,5.44,5.86,Easy,208,0
49397,5.12,1.37,Easy,433,1
45139,6.86,1.74,Easy,488,1
39579,3.18,9.65,Hard,270,1
39580,2.86,7.18,Easy,303,1
50371,3.71,6.09,Easy,180,1
11406,4.49,8.84,Easy,465,0
44669,4.29,0.9,Hard,223,1
46833,4.4,3.17,Hard,405,0
19544,1,3.45,Hard,267,1
18690,5.05,8.37,Hard,249,0
29037,3.99,8.41,Hard,389,0
12178,1.63,5.74,Hard,347,0
22252,3.87,8.4,Hard,242,0
31510,3.87,6.65,Easy,488,1
18535,0.9,5.46,Easy,454,0
28135,1.15,7.99,Hard,365,0
28847,6.68,4.57,Hard,453,0
27725,0.7,1.51,Easy,281,1
19339,4.34,0.78,Easy,211,1
35740,5.95,7.36,Easy,350,0
24212,4.35,6.89,Hard,286,0
4275,5.32,0.73,Hard,218,0
11771,5.34,6.52,Hard,165,0
14351,4.81,3.61,Easy,307,1
7554,6.33,0.66,Easy,453,0
19810,5.91,4.5,Easy,392,0
1042,5.11,3.81,Easy,475,0
29450,2.53,3.05,Easy,311,1
34883,2.96,6.52,Hard,496,0
