IPC_section_number,easy_question,hard_question
1,"[""Rohit, an Indian national, commits an offence while working at an Indian consulate in Germany. When brought back to India, a question arises whether the Indian Penal Code is applicable to offences committed outside the territorial boundaries of India. Under which IPC sections can this situation be assessed?"", [""IPC Section 1"", ""IPC Section 2"", ""IPC Section 3"", ""IPC Section 4"", ""IPC Section 5"", ""IPC Section 10"", ""IPC Section 11"", ""IPC Section 12""], [""IPC Section 1"", ""IPC Section 2"", ""IPC Section 4""]]","[""In 2024, a cybercrime ring is busted involving Indian citizens operating in Kenya, targeting Indian banking customers. The legal team argues whether the IPC can be used against these citizens for crimes committed entirely on foreign soil but affecting Indians. They also seek clarity on whether the law allows applying IPC to such extraterritorial acts. Which IPC sections are relevant to this case?"", [""IPC Section 1"", ""IPC Section 2"", ""IPC Section 3"", ""IPC Section 4"", ""IPC Section 5"", ""IPC Section 34"", ""IPC Section 120B"", ""IPC Section 188""], [""IPC Section 1"", ""IPC Section 2"", ""IPC Section 4""]]"
2,"[""Kavita, an Indian citizen, committed a theft while on a holiday in Nepal. Upon return to India, the authorities decide to take action. Under which sections of the IPC can they initiate prosecution despite the act being done abroad?"", [""IPC Section 1"", ""IPC Section 2"", ""IPC Section 3"", ""IPC Section 4"", ""IPC Section 5"", ""IPC Section 10"", ""IPC Section 20"", ""IPC Section 23""], [""IPC Section 2"", ""IPC Section 3"", ""IPC Section 4""]]","[""A foreign national commits a cyber-attack on Indian government servers while staying in the UAE. Later, when he travels to India for a seminar, he is detained. Legal experts argue over whether IPC can be applied, and which sections define its territorial scope, especially for acts by foreigners against Indian interests. What sections are relevant?"", [""IPC Section 2"",""IPC Section 3"", ""IPC Section 4"", ""IPC Section 5"", ""IPC Section 11"", ""IPC Section 34"", ""IPC Section 120B"", ""IPC Section 124A""], [""IPC Section 2"", ""IPC Section 3"", ""IPC Section 4""]]"
3,"[""Ajay, an Indian spy, kills another agent during a secret mission in Bangladesh. He returns to India and is arrested. The court needs to determine which sections allow Indian courts to try such extraterritorial acts. What IPC sections may apply here?"", [""IPC Section 1"", ""IPC Section 2"", ""IPC Section 3"", ""IPC Section 4"", ""IPC Section 5"", ""IPC Section 34"", ""IPC Section 120A"", ""IPC Section 120B""], [""IPC Section 3"", ""IPC Section 4"", ""IPC Section 34""]]","[""In a joint covert operation, an Indian intelligence officer assassinates a suspect in a third country using classified Indian technology. Later, under international pressure, Indian courts are compelled to consider charges. In discussing jurisdiction and admissibility of such a trial, which sections of IPC are crucial in evaluating whether acts committed by Indian citizens abroad can be legally tried in India?"", [""IPC Section 1"", ""IPC Section 2"", ""IPC Section 3"", ""IPC Section 4"", ""IPC Section 34"", ""IPC Section 120B"", ""IPC Section 299"", ""IPC Section 302""], [""IPC Section 3"", ""IPC Section 4"", ""IPC Section 302""]]"
4,"[""A person commits a cybercrime using Indian servers while sitting in Singapore. The act affects a company based in Mumbai. The victim reports the matter to Indian cybercrime police. The legal team argues whether such extraterritorial actions are punishable under IPC. What IPC sections help clarify this issue?"", [""IPC Section 1"", ""IPC Section 2"", ""IPC Section 3"", ""IPC Section 4"", ""IPC Section 5"", ""IPC Section 34"", ""IPC Section 378"", ""IPC Section 420""], [""IPC Section 4"", ""IPC Section 2"", ""IPC Section 420""]]","[""An Indian navy officer commits an offence onboard an Indian ship docked at a foreign port. Upon return, the question is raised whether IPC can be applied to crimes committed on Indian-registered vessels outside India. Which IPC sections determine whether the Indian courts can try this matter?"", [""IPC Section 2"", ""IPC Section 3"", ""IPC Section 4"", ""IPC Section 5"", ""IPC Section 302"", ""IPC Section 304"", ""IPC Section 124A"", ""IPC Section 34""], [""IPC Section 4"", ""IPC Section 2"", ""IPC Section 302""]]"
5,"[""Neha was being tried under a specific IPC section. However, the defense lawyer argued that another special law governed her case more directly, and hence the IPC shouldn’t apply. The judge had to determine whether IPC can be overridden in case of special legislations. Which sections guide this decision?"", [""IPC Section 5"", ""IPC Section 2"", ""IPC Section 3"", ""IPC Section 4"", ""IPC Section 10"", ""IPC Section 11"", ""IPC Section 12"", ""IPC Section 13""], [""IPC Section 5""]]","[""A case involving a minor under the Protection of Children from Sexual Offences (POCSO) Act comes before the court. The prosecution tries to apply IPC provisions as well, but the defense argues that IPC cannot be used alongside special laws. The court must decide if IPC can supplement or be excluded in presence of special legislations. Which IPC sections are important here?"", [""IPC Section 2"", ""IPC Section 3"", ""IPC Section 4"", ""IPC Section 5"", ""IPC Section 354"", ""IPC Section 375"", ""IPC Section 376"", ""IPC Section 377""], [""IPC Section 5"", ""IPC Section 354"", ""IPC Section 376""]]"
6,"[""Ramesh is on trial for murder. The judge reminds the jury that the term 'offence' as used in different IPC clauses should be interpreted based on the law in force at the time of the act. In clarifying what the term 'offence' means legally, which IPC sections should be referred to?"", [""IPC Section 6"", ""IPC Section 10"", ""IPC Section 11"", ""IPC Section 12"", ""IPC Section 13"", ""IPC Section 14"", ""IPC Section 40"", ""IPC Section 44""], [""IPC Section 6"", ""IPC Section 40"", ""IPC Section 44""]]","[""A case involving an alleged terrorism act is brought before court. The act falls under both IPC and the Unlawful Activities Prevention Act (UAPA). While deciding which law to prioritize, the judge also emphasizes understanding how IPC defines ‘offence’ in conjunction with special laws. What IPC sections help clarify how IPC is to be read with other special laws, particularly in understanding terms like 'offence'?"", [""IPC Section 6"", ""IPC Section 40"", ""IPC Section 41"", ""IPC Section 42"", ""IPC Section 43"", ""IPC Section 44"", ""IPC Section 45"", ""IPC Section 46""], [""IPC Section 6"", ""IPC Section 40"", ""IPC Section 44""]]"
7,"[""During a forgery case, the judge explains that the term 'offence' refers only to acts punishable under IPC unless stated otherwise. The police want to add charges under another special act, but the defense argues that IPC cannot be extended unless clearly defined. What IPC sections help in interpreting the term 'offence'?"", [""IPC Section 7"", ""IPC Section 10"", ""IPC Section 11"", ""IPC Section 40"", ""IPC Section 41"", ""IPC Section 42"", ""IPC Section 44"", ""IPC Section 45""], [""IPC Section 7"", ""IPC Section 40"", ""IPC Section 44""]]","[""In a criminal conspiracy case involving digital fraud, the court debates whether acts punishable under the Information Technology Act can be called ‘offences’ under IPC. The interpretation hinges on what qualifies as an 'offence' in IPC, especially when a non-IPC law is involved. What IPC sections are critical to define 'offence' in this hybrid legal context?"", [""IPC Section 7"", ""IPC Section 40"", ""IPC Section 41"", ""IPC Section 42"", ""IPC Section 43"", ""IPC Section 44"", ""IPC Section 45"", ""IPC Section 46""], [""IPC Section 7"", ""IPC Section 40"", ""IPC Section 44""]]"
8,"[""An elderly man is convicted of a minor public nuisance act. While sentencing, the judge considers the man’s good character and his earlier contributions to society. The defense mentions that the man acted in good faith, thinking it was legal. Which IPC sections explain how to interpret such mental elements?"", [""IPC Section 8"", ""IPC Section 10"", ""IPC Section 11"", ""IPC Section 14"", ""IPC Section 52"", ""IPC Section 76"", ""IPC Section 79"", ""IPC Section 80""], [""IPC Section 8"", ""IPC Section 52"", ""IPC Section 76"", ""IPC Section 79""]]","[""A social media activist posts sensitive information which later turns out to be false. He is booked under multiple charges including sedition and defamation. In court, he pleads that he acted in good faith, with no malicious intent. The judge has to determine whether acting ‘in good faith’ can be a defense, and what sections define this term. Which IPC sections are relevant here?"", [""IPC Section 8"", ""IPC Section 52"", ""IPC Section 76"", ""IPC Section 77"", ""IPC Section 78"", ""IPC Section 79"", ""IPC Section 80"", ""IPC Section 81""], [""IPC Section 8"", ""IPC Section 52"", ""IPC Section 79""]]"
9,"[""During a riot case, one of the accused argues that although he was present, he did not participate. However, the prosecution points out that mere presence in certain cases indicates ‘common intention’. To evaluate whether the accused shared common intention, which IPC sections apply?"", [""IPC Section 9"", ""IPC Section 10"", ""IPC Section 11"", ""IPC Section 34"", ""IPC Section 35"", ""IPC Section 36"", ""IPC Section 37"", ""IPC Section 38""], [""IPC Section 9"", ""IPC Section 34"", ""IPC Section 35"", ""IPC Section 38""]]","[""A group of five men plan to rob a jewellery shop. One of them just sits in a getaway car and claims he was unaware of the plan. However, the police find chats indicating he knew everything and agreed in advance. The court must decide if all the men can be equally charged. Which IPC sections define the idea of common intention and joint liability in such a situation?"", [""IPC Section 9"", ""IPC Section 34"", ""IPC Section 35"", ""IPC Section 36"", ""IPC Section 37"", ""IPC Section 38"", ""IPC Section 120A"", ""IPC Section 120B""], [""IPC Section 9"", ""IPC Section 34"", ""IPC Section 35"", ""IPC Section 120B""]]"
10,"[""An accused in a property case claims that he was not the real owner of the land and that the document mentioned a ‘person’. The court must interpret the word 'man' in the IPC. Which sections clarify how gendered terms should be read in IPC?"", [""IPC Section 10"", ""IPC Section 11"", ""IPC Section 12"", ""IPC Section 13"", ""IPC Section 14"", ""IPC Section 21"", ""IPC Section 34"", ""IPC Section 35""], [""IPC Section 10"", ""IPC Section 11"", ""IPC Section 13""]]","[""In a dowry harassment case, the accused tries to argue that IPC terms like ‘he’ or ‘man’ should not apply to the mother-in-law or sister-in-law who were also involved. The court clarifies that IPC treats masculine terms as gender-neutral unless otherwise stated. Which IPC sections help in interpreting such gendered language?"", [""IPC Section 10"", ""IPC Section 11"", ""IPC Section 13"", ""IPC Section 14"", ""IPC Section 34"", ""IPC Section 120A"", ""IPC Section 498A"", ""IPC Section 506""], [""IPC Section 10"", ""IPC Section 11"", ""IPC Section 13""]]"
11,"[""EasyQuestionForSection11"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection11"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
12,"[""EasyQuestionForSection12"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection12"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
13,"[""EasyQuestionForSection13"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection13"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
14,"[""EasyQuestionForSection14"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection14"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
15,"[""EasyQuestionForSection15"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection15"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
16,"[""EasyQuestionForSection16"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection16"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
17,"[""EasyQuestionForSection17"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection17"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
18,"[""EasyQuestionForSection18"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection18"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
19,"[""EasyQuestionForSection19"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection19"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
20,"[""EasyQuestionForSection20"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection20"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
21,"[""EasyQuestionForSection21"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection21"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
